Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
vT9cTZDarmQ,True Lifeline Motivational Quotes #trending #ytshorts #shorts #motivation,"Oct 2, 2025",4,1571,1.1506,0,181,0
YDkGmZ1BDRM,💢🔥Always believe yourself 💯💯#viralshort #trending #believe #ytshorts #motivation,"Aug 29, 2025",15,1523,1.7548,3,160,1.88
JhZkAPwi3NA,when life gives you a hundred reasons .......#viralshorts #trending #ytshorts #motivation,"Mar 10, 2026",13,1432,1.6503,2,170,0.59
jIHfIDOlgms,motivational quotes || Lifelession #trending #quotes #motivation #shorts,"May 6, 2026",13,1399,1.2,1,113,0
itzhcE5EKhw,Struggle || Lifelession #ytshorts #struggle #motivation #shorts,"Mar 21, 2026",13,1397,1.1853,1,344,0.87
Nbl2ntIqlc8,Future #treding #ytshorts #viralshorts #motivation #quotes,"Mar 12, 2026",13,1357,1.4718,1,178,1.12
k1KzXUI91QE,Sacrifice......|| Lifelession #trending #ytshorts #motivation #viral #shorts,"Mar 20, 2026",13,1344,1.0677,0,170,0.59
FJ_87ZcEu4I,If peace in your life #trending #peace#ytshorts #viralshorts #ytshorts #shorts 🧬🧬🧬🧬🧬,"Sep 20, 2025",6,1286,0.9387,0,231,2.16
2epGMav5bq4,🔥💯💯 Treading Trueline Motivational Video || Reality Of Life#ytshorts #treading #shorts  🧬🧬🧬🧬🧬🧬🧬,"Aug 27, 2025",5,1266,1.007,0,142,0.7
iHt5QEmgcps,Trust........ || Lifelession #trending #viralshort #viral #shorts #quotes #motivation,"May 19, 2026",13,1255,1.3549,3,105,0.95
NYgJj6qDGjE,New viral trending shorts #trending #viralshorts #ytshort#motivationalquotes #shorts,"Oct 9, 2025",5,1253,1.1978,1,218,2.29
AgYQzeAYILU,Believe in Karma...#viralshorts#trending #ytshorts #karma #motivation,"Oct 16, 2025",5,1228,0.9517,0,221,1.36
6bOeNtOA6Wg,Try to best way of learning #trending #ytshorts #motivation  #shorts,"Oct 7, 2025",5,1203,1.0433,0,203,1.48
ZMQSNBCjgDY,COMMING SOON 9 AUGUST 2025 || Biggest Festival Of India#treanding #viralshort#2025shorts #ytshorts,"Aug 8, 2025",15,1180,2.3421,0,198,4.04
JGfARoAPXSQ,Every soul shall taste death and return....#viralshorts #truelifeline #ytshorts #shorts,"Sep 30, 2025",20,1177,2.4106,0,210,1.43
PnjIr89gzKg,True Lines of Life#viralshorts #ytshorts #motivation #shorts  🧬🧬🧬🧬,"Oct 7, 2025",7,1159,1.2252,0,192,1.56
kDNH6MZS6oM,Lifelession #trending #ytshorts #youtube #motivation #quotes,"Mar 10, 2026",13,1155,0.9712,1,159,2.52
8_KsczIBpAE,Matalbi #trending #viralshorts#matalbi #ytshorts #shorts,"Sep 8, 2025",36,1154,2.2909,2,128,0.78
woIBTZ-BuoM,🔥💯💯 True Lifeline Motivational ||lifeline #trending #ytshorts #shorts #motivation,"Oct 4, 2025",6,1148,1.2426,0,454,1.54
9ucI_4GY7kg,SIX MONTHS OF HARDWORK #trending #viralshorts #hardwork #ytshorts #motivation,"Sep 13, 2025",7,1115,0.9698,4,200,2
Inwaor0ACPI,🌟Best Motivation Video for every students 🌟#trending #ytshorts #viralshorts #motivation,"Sep 4, 2025",14,1110,1.2287,0,155,5.81
EU_57hw-ad0,Reality of life || Trueline Motivation  #trending #ytshorts #motivation #shorts 🧬🧬🧬🧬🧬,"Oct 4, 2025",6,1106,0.9739,0,208,0.96
HbJmApuOLXk,Every day may not be good...#trending #viralshorts #ytshorts #motivation,"Mar 11, 2026",13,1104,0.9566,1,152,1.97
AxnmWXQbV1I,Life is a journey... || Life lessons #trending #viral #ytshorts #motivation,"Mar 7, 2026",13,1094,0.8021,1,208,0.96
K9wrtX0G1vw,True Lines Of Life #reality #treading #ytshorts #shorts,"Jul 17, 2025",44,1067,4.12,1,251,0.4
w0iX5f6Qk2c,Trending diwali viralshort #trending #viralshorts #ytshorts #motivation #shorts,"Oct 19, 2025",6,1065,0.9799,0,241,2.07
cFRXwLz3w8A,💢💯💯 Reality Of Life #ytshorts #trendingshorts #motivation #shorts,"Sep 5, 2025",17,1046,1.291,0,199,2.51
YITKDRiMEw4,one smile can start a Friendship.....#trending #quotes #viral #shorts,"Mar 19, 2026",13,1036,1.2691,1,160,0.63
jO731k7Ty8U,Don't lose a full book || Lifelession #changeyourmindsetchangeyourlife #shorts #motivation,"Mar 19, 2026",13,1034,0.9546,0,156,1.92
SttZxaf8BtY,Meaning Of Navratri..... #trending #viralshorts #ytshorts #navratri #shorts,"Oct 1, 2025",8,1029,1.6635,0,198,2.02
wdzFj8ee2_I,True line of life #truelifeline #viralshorts #shorts #ytshorts #motivation  🧬 🧬🧬🧬,"Sep 21, 2025",5,1002,0.9367,1,137,0.73
XLl7cansLjg,5 important tips #trending #viralshorts #ytshorts #important #shorts,"Jun 13, 2025",7,990,0.9619,2,180,0.56
P46BOojsC6s,🔥💯💯 Trueline Motivational Video #trending #ytshorts #studymotivation #shorts,"Sep 26, 2025",5,981,0.871,1,219,2.28
9VLdGj3VSI8,Make yourself happy....#viralshorts #happy #trending #ytshorts #motivationalquotes,"Mar 8, 2026",13,981,0.4605,0,165,0.61
zO1WdnSgLGQ,Trueline Motivational Video #treading #viralshorts #ytshorts #motivation,"Sep 7, 2025",8,956,0.9199,0,135,2.22
cMGSgXJ2prk,silence is the best answer.... #viralshorts #ytshorts#silence#changeyourmindsetchangeyourlife,"Mar 9, 2026",13,947,0.9406,1,165,1.82
8L6rlCI2nTc,No one starts perfect.... || Lifelession #trending #ytshorts #motivation #shorts,"Mar 18, 2026",13,947,1.0377,1,177,0
wBFUhLbUm8I,Education is the best friend....#trending #viralshorts #ytshorts #motivation #shorts,"Apr 10, 2026",13,929,0.9871,0,177,2.26
aXKsiujKgc0,Nothing is in relationship ||Reality Of Life#trending #viralshorts #ytshorts #motivation#shorts 🧬🧬🧬🧬,"Oct 7, 2025",5,921,0.8368,0,201,1.99
NnzbrqSNQOI,Always be ready to survive alone........|| Lifelession #trending #quotes #ytshorts #motivation,"May 18, 2026",13,910,0.7877,0,102,0
BxJtbWM6q_I,Never Give up #trending #ytshorts #nevergiveup #inspirationalvideos #motivation,"Sep 6, 2025",9,886,0.8762,0,143,1.4
pQ9txXwFpJ4,Study Motivation Video || Hardwork #trending #viralshorts #ytshorts #shorts #motivation,"Sep 28, 2025",33,864,1.2944,1,160,0
BrEybFLiZAE,Lifelines trending viralshort #trending #ytshorts #lifelessons #motivation #shorts,"Sep 28, 2025",8,828,0.7848,0,227,2.64
zgeBJp77roo,Trending Trueline Motivational Video #trending #ytshorts #motivation #shorts,"Sep 9, 2025",8,821,0.936,0,141,0.71
1HOMHdrj1g0,🌎 90%People in the world #viralshorts #ytshorts #trending#motivation  #shorts 🌎🌎🌎🌎,"Sep 12, 2025",10,794,0.9659,3,150,0.67
j6Tv_ZEmu04,🔥💯💯 Dream || Success#ytshorts #motivation  #changeyourmindsetchangeyourlife #shorts,"Mar 20, 2026",13,780,0.3625,0,139,2.88
V5fBV_souAQ,Life is not easy...  || Life Lessons #trending #viral #ytshorts  #changeyourmindsetchangeyourlife,"Mar 3, 2026",7,772,0.5497,0,227,1.32
beAElZwVMmc,Life Lesson|| DECISIONS DECIDE DESTINY #truelifeline #ytshorts #motivation #shorts,"Sep 12, 2025",18,753,1.2908,0,158,2.53
JuBPGbs1Wps,Apj abdul kalam motivational quotes...#viralshorts #trending #ytshorts #motivation,"Apr 22, 2026",13,753,0.6403,2,132,0.76
gwVPrrO8_-o,🌼🌸New nauratri trending viralshort #ytshorts #trending #shorts,"Sep 22, 2025",13,749,0.9993,2,177,2.26
4PZUFsdlKbI,Quotes about life || Lifelession #viralshorts #trending #viral #motivation #shorts,"May 3, 2026",13,695,0.544,0,110,0
ZSVGEes-4I0,Successful motivational video #trending #viralshorts #ytshorts #success #motivation,"Sep 18, 2025",9,695,1.764,2,219,1.37
KcxNSlbyGsc,sometimes.... || Life lessons #viralshorts  #viral #ytshorts #motivation #shorts,"May 1, 2026",13,652,0.4575,0,118,0.85
 -i5vAKwX_bY,Life is unexpected journey || Lifelession #trending #viralshorts #ytshorts #motivation,"Mar 5, 2026",7,634,0.4615,0,194,1.03
i5S1W40qNaY,1 % better every single day.....|| Lifelession #trending #ytshorts #motivation #shorts,"Apr 2, 2026",13,569,0.4841,0,144,0.69
6MY4dKOA25E,Your only competition is you......#trending #viralshorts #ytshorts #motivation #shorts,"Mar 26, 2026",13,566,0.3086,1,149,0.67
wGl6goVDgm4,Life is a book.......#trending #ytshorts #life #motivation,"Apr 30, 2026",13,547,0.4221,0,120,0
PRoduj7uTew,"No risk, no story.....|| No struggle, no glory....#trending #ytshorts #motivation #shorts","Mar 24, 2026",13,491,0.2806,1,132,2.27
aKWKX5Znn-Q,Life is very complicated.... || Lifelession #trending #ytshorts #motivation #shorts,"Mar 6, 2026",13,488,0.4116,0,209,0.48
esu0zCghcYA,Push yourself beyond your limits......|| Lifelession #trending #ytshorts #motivation #shorts,"Mar 23, 2026",13,476,0.3191,0,116,0
bZ74--u7OaQ,Start where you are.....|| Lifelession #star #trending #changeyourmindsetchangeyourlife #shorts,"Mar 26, 2026",13,472,0.3325,0,151,3.31
jYzpt0zvqXs,Delete negative people.....|| Lifelession #trending #ytshorts #motivation #shorts,"Mar 27, 2026",13,431,0.2874,0,131,0
Sbow0QiFGiA,Focus || Lifelession #trending #viralshorts #ytshorts #motivation #shorts,"Mar 21, 2026",13,429,0.2403,0,134,0.75
eEim1YSBUFM,Don't wait for the perfect moment......|| Lifelession #trending #ytshorts #motivation #shorts,"Apr 1, 2026",13,425,0.3056,0,146,0
1TDBWyQIIF0,Wake up with determination....|| Lifelession #trending#viralshorts #changeyourmindsetchangeyourlife,"Mar 24, 2026",13,413,0.2887,0,147,0
jOIOGsa6bp4,Every day is special......|| Lifelession #trending #ytshorts #motivation #shorts,"Apr 21, 2026",13,399,0.3456,0,134,0
DmIyNL-6f4U,Always Remember.....|| Never change your decision...#trending #ytshorts #viral #shorts,"Mar 30, 2026",13,399,0.3464,1,139,0.72
0RChgQ9CFXY,God plan is always the best.... || Lifelession #trending #viralshorts #ytshorts #motivation,"Mar 15, 2026",13,393,0.3681,0,160,0.63
EOfxNAH5l_o,Most people will ignore this.......#trending #viral #motivation #shorts,"Apr 8, 2026",13,389,0.2788,0,123,1.63
4LEPJZRokzU,Never get too attached to anyone....|| Lifelession #trending #ytshorts #motivation #shorts,"Apr 13, 2026",13,386,0.4165,0,141,1.42
Avt1v4G7kcc,Lifelession Motivation|| Life changing motivation #trending #viral #shorts,"Apr 3, 2026",13,370,0.2404,0,119,0.84
RhGGLlDRAzM,99 % people will ignore this.....|| Lifelession #trending #viral #motivation #shorts,"Apr 3, 2026",13,367,0.2865,0,123,1.63
2ConkehCy3c,Success is not final...... || Lifelession #trending #viral #ytshorts #motivation #success,"Mar 18, 2026",13,367,0.3948,0,176,1.7
tbE69znPe0o,🪙Life is like a coin 🪙|| Lifelession #trending #viral#quotes  #changeyourmindsetchangeyourlife,"May 21, 2026",13,360,0.3137,0,115,0.87
vUuo1GXDRcw,"Every day is new chance to grow..,..#trending #ytshorts #motivation #quotes #shorts","Mar 20, 2026",13,351,0.226,1,134,0.75
0R3kfmTRfX4,True Line Motivational Quotes || Lifelession #trending #ytshorts #viralshorts #shorts #quotes,"May 16, 2026",13,349,0.2468,1,91,1.1
cl7TtHDf-zw,Wake up with a purpose.....|| Lifelession #trending #ytshorts #motivation #shorts,"Mar 22, 2026",13,348,0.2137,0,186,1.08
aALNEHkTTM8,You're not tired......#trending #quotes #viral #motivation #shorts,"Apr 7, 2026",13,340,0.2222,0,122,0
S0z6_TYXzvM,Self Confidence.....#trending #ytshorts #viral #motivationalquotes #shorts,"Mar 19, 2026",13,338,0.3385,1,180,0.56
FEamnaYdWkc,Do something today........|| Lifelession #viralshorts #trending #quotes #shorts,"May 12, 2026",13,288,0.2043,0,111,4.5
hj9OjoAl7z4,No motivation? Still show up......#trending #viralshorts #ytshorts #motivation #shorts,"Apr 2, 2026",13,282,0.1002,0,146,1.37
sevhxsnFOWI,Wait don't scroll........|| Lifelession #trending #viral #shorts #motivation,"Apr 5, 2026",13,278,0.1472,0,115,1.74
BLHavFphqog,No one believe in your......|| Lifelession #trending #ytshorts #motivation #shorts,"Apr 9, 2026",13,278,0.1283,0,123,1.63
HhE3na0CBgQ,Action is the  foundational key to all success......#action #foundational #ytshorts #motivation,"Mar 9, 2026",13,272,0.1299,0,166,1.81
J5YewaanEYw,Dream....|| Lifelession #viralshorts #trendingshorts #ytshorts #motivation #shorts,"Mar 25, 2026",13,272,0.152,0,131,1.53
MIxeUKqvkkk,Education.........|| Powerful weapon #trending #ytshorts #motivation #education #shorts ,"Apr 19, 2026",13,267,0.164,0,117,0
U2NGdDbrVcI,Silence and Smile are two power full tools....... #trending #ytshorts #motivation #shorts,"Apr 27, 2026",13,261,0.157,0,136,2.21
8BcHrIEI4Nw,The future depends on what you do today.........#viralshorts #motivationalquotes #shorts #quotes,"May 10, 2026",13,247,0.2125,1,110,0.91
T3PX4BAT_fA,🔥💯💯Start small but think big......#trending #viralshorts #motivation #shorts,"Mar 22, 2026",13,244,0.122,0,119,0.84
WA1sD3Ud7MQ,Secret of Mind......#trending #viral #motivation #shorts,"May 9, 2026",13,234,0.1106,0,104,0
ZXN4WYuzbQY,🔥🔥 Discipline Over Motivation #viralshorts #trending #ytshorts #motivation #shorts,"Jun 4, 2026",13,218,0.1015,0,43,2.33
Ex8sED0K8FY,Small steps.......|| Lifelession#trending #ytshorts #shorts,"Mar 23, 2026",13,218,0.1208,0,120,1.67
JhMCIvwk9R0,✨All sacrifices for one smile ✨|| 🆕 True Line Motivation Video #trending #motivation #ytshorts_,"Nov 14, 2024",13,217,0.3634,0,615,5.53
EdyMORuL-Wc,Pain is temporary...... || Lifelession Quotes #trending #quotes #ytshorts #shorts,"May 24, 2026",21,215,0.1704,0,104,0.96
Aj2FBXcxLuk,You don't need perfect conditions to start......|| Lifelession #conditions #star#quotes #motivation,"May 30, 2026",13,213,0.1349,0,70,5.71
DrKNWf39XVc,Be silent in these 3 things || Lifelession #inspiration #silent #motivation,"May 22, 2026",27,208,0.2616,0,122,13.11
0MctoCkV9V4,Work #trending#viral #ytshorts  #changeyourmindsetchangeyourlife #shorts,"Apr 22, 2026",13,202,0.1762,0,122,0
UnriIlK7iEY,Time.........|| Lifelession #trending #ytshorts #viralshorts #viral #motivation #shorts,"May 5, 2026",13,200,0.1555,1,100,1
ZjoJuAYQ_qU,🔥💯💯 Benefits of Team Work ||  Motivational Video #viral #trending #team work#ytshorts 🚧🚧🚧,"Apr 24, 2024",7,194,0.2072,0,1114,2.06
7PEFDTT_H68,Don't Compare.... || Lifelession #trending #ytshorts #motivation shorts,"Mar 13, 2026",13,191,0.1185,0,157,0.64
UvYXvoxqcTg,Life is an experiment... || Lifelession #trending #viralshorts #ytshorts #motivation,"Mar 6, 2026",13,189,0.2027,1,187,1.07
CCysowpsij8,Best advice for every girl #trending #truelifeline #truemotivation #ytshorts #motivation #shorts,"Jun 11, 2025",37,181,0.9418,0,168,5.36
ZC_4nd1rrgs,🔥💯💯 Power Of Education || Success Motivation Video #power#education #successmotivation #ytshorts,"Dec 23, 2024",12,174,0.2086,0,1067,2.16
KLmQ5O6PzvY,"No shortcuts, only hard work......#trending #ytshorts #motivation #shorts","Mar 21, 2026",13,172,0.1106,1,138,2.17
t2yej8uv6pU,Wait.... don't skip this.....|| Lifelession #trending #viralshorts #motivation #ytshorts #shorts,"Apr 4, 2026",13,171,0.1408,0,122,0.82
2fmLlihpZGY,Knowledge......|| Lifelession #quotes #trending #motivation #shorts,"May 6, 2026",13,166,0.1092,0,99,1.01
nCnYDd0t1uw,Two things define you........#trending #ytshorts #shorts #motivation,"May 9, 2026",13,161,0.1028,0,106,0.94
HuUfM66eKbQ,Work hard in silence.....|| Lifelession #trending #ytshorts #motivation #shorts,"Apr 1, 2026",13,154,0.0832,0,146,1.37
2t-QUVQNLpY,Discipline Will Change Your Life 🔥|| Discipline == Success 💪 #discipline#motivation #studymotivation,"May 23, 2026",105,150,0.4177,0,116,11.21
Boi5e8UwLEU,"Success is built on daily habits, not one - time efforts.#trending #viralshorts#ytshorts#motivation","Mar 17, 2026",13,149,0.0792,0,164,0.61
syXzJutrQdM,Nobody is coming to save you.....#trending #viral #shorts #ytshorts,"Apr 6, 2026",13,142,0.0621,0,128,1.56
aif7sEfGmq8,Your mindset is your greatest power....#trending  #ytshorts  #motivation #shorts,"Mar 17, 2026",13,139,0.0711,0,154,0
PunlxC5Gwbg,Quotes || Thoughts || Lifelession #trending #ytshorts #quotes #trending #viral #shorts,"May 20, 2026",13,134,0.1026,0,98,1.02
A66B0bRo5Kw,Dream big....... ||  Work hard......#trending #quotes #ytshorts #motivation #shorts,"May 23, 2026",21,133,0.0567,0,91,0
Bc8krJg9_l8,Hard day's || Lifelession #trending #ytshorts #motivation #hard #days #shorts,"Mar 22, 2026",13,121,0.0843,0,109,0.92
K3-H3HA55yg,Life has no remote....|| lifelession #motivation #trending #viral #shorts,"Mar 5, 2026",19,120,0.0723,0,201,1.99
7LhK0buGt-o,Respect || Lifelession #trending #viralshorts #viral #motivation #ytshorts,"Apr 16, 2026",13,119,0.1094,0,110,1.82
YWOCucv0NzI,Every day is a new chance to grow.....#trending #viralshorts #ytshorts #motivation,"Mar 23, 2026",13,114,0.0547,0,110,0
uSr_Rxbi_xs,Your dreams need your effort.......|| Lifelession #trending #ytshorts #motivation #shorts,"Apr 1, 2026",13,111,0.0932,0,132,0.76
M8Y1vegPcqI,🔥💯💯🆕 Success Motivation Video #viralshorts #treading #ytshorts #success #motivation,"Mar 3, 2025",17,107,0.241,0,305,1.64
JjR1WOBiefg,🔥💯💯⚡Motivational video #viralshorts #ytshorts #trending #shorts,"Mar 1, 2026",11,100,0.0641,0,245,0.82
1D7yE1C4mcI,Never give up.......|| Lifelession #trending #ytshorts #shorts #motivation,"Mar 26, 2026",13,99,0.0688,0,127,0
B_znU0ahVqc,Quotes about Life || Lifelession #trending #ytshorts #quotes #shorts #motivation,"May 22, 2026",13,97,0.0815,0,116,1.72
ro_ZTzEuxq0,Most Powerful Motivational Quotes || Lifelession #trending #ytshorts #viralshorts #quotes #shorts,"May 11, 2026",13,96,0.059,0,102,0.98
O3WZaK9NHZs,look at the sky.....|| Lifelession #trending #ytshorts #viral #shorts,"May 4, 2026",13,94,0.0569,0,109,0
26WFYW0eUl8,Smile....|| Lifelession #viralshort #trending #ytshorts #motivation #shorts,"Jun 2, 2026",13,94,0.0559,0,63,1.59
Db02OHsG4ko,💻🖥Deen Dayal UPADHYAY # Gorakhpur University ||computer lab 👩‍💻👨‍💻,"Apr 7, 2023",40,84,0.1749,0,568,5.28
KUIoHg-c-Ic,🌟Self confidence 🌟 Powerful motivational quotes in english #trending #viralshorts #ytshorts #shorts,"Apr 18, 2026",13,83,0.0619,0,109,1.83
KvQZOMlkOU0,Quotes about Life|| Life Lifelession #viral #quotes #trending #shorts #motivation 🧬🧬🧬🧬,"May 31, 2026",18,80,0.0444,0,62,4.84
_LuZQ_dDAIo,🔥💯💯 Your struggle......|| Lifelession #trending #viral #shorts #motivation,"Mar 24, 2026",13,78,0.0315,0,123,1.63
FdkDNrpzAmI,Best Time For Study||Scientific Research #time #motivation  #scientific#reseach #studymotivation,"Dec 11, 2024",12,65,0.1057,0,438,1.6
3VJOY7l7mAI,Education...|| Lifelession #trending #ytshorts #education #motivation,"Mar 14, 2026",13,62,0.0301,0,154,0
dH9rC_4n4mU,Self confidence.....|| Lifelession #viral #trending #ytshorts #shorts,"May 15, 2026",13,59,0.0339,0,81,0
VDgQxv3eHJE,Life always offer you.... || Lifelession #viralshorts #ytshorts #motivation,"Mar 5, 2026",19,54,0.0423,0,201,0.5
INMb7vXa5UI,🔥💯💯 Believe yourself || True Line Motivation Video #believe #yourself #motivation #ytshorts #shorts,"Dec 29, 2024",12,39,0.05,1,237,2.53
Q0621f_FYG0,🔥💯💯 🆕 Trueline Motivational Video||   Struggle|| Enjoy your life #struggle #enjoylife #motivation,"Dec 17, 2024",8,31,0.0583,0,42,2.38
8bVi_YE7v3o,🔥💯💯🆕 Success Motivational Video #truelifeline #trending #ytshorts #shorts #motivation,"Jun 7, 2025",9,27,0.0413,0,299,0.33
YTc8xXWrTp0,🎶Power of music 🎶 || Trending Viral Shorts #ytshorts #power#music #shorts 🎶,"May 16, 2025",9,25,0.0563,0,283,0.71
49jKztXcx1w,Reality of Life #trending #viralshort #ytshorts #reality  #motivation,"Jun 5, 2025",7,22,0.0238,0,113,0
Z5-jrgHUTHI,From ₹50 to Data Analyst Job || Motivational Story#DataAnalyst #Success#Motivation#Excel#SQL#PowerBI,"May 27, 2026",212,21,0.3243,0,149,9.4
NsEvbLmN94c,What is real facts ???? #trending #viralshort #ytshorts #shorts,"May 28, 2025",8,20,0.0342,0,87,0
xa9dFHBFJFk,Success Motivational Video #success #trending #viralshort #ytshorts #motivation,"May 28, 2025",5,19,0.022,0,106,0
DcEU02j_SJs,Reality of Life........#trending #ytshorts #viral #shorts #motivation,"Apr 25, 2026",13,19,0.0075,0,131,0.76
1eYynqIQhXM,Never compare yourself with anyone || Trueline Of Life #compare #yourself #ytshorts #motivation🧬🧬🧬🧬🧬,"Feb 14, 2025",6,19,0.026,0,68,5.88
iW1dyX284IY,Only you know what you've truly been through! #viralshorts #trending #ytshorts #motivation,"Feb 24, 2025",14,18,0.0273,0,89,6.74
oeFvnBaZ63w,Never give up #trending #viralshorts #ytshorts #motivation 🧬🧬🧬🧬,"May 30, 2025",5,18,0.0165,0,87,1.15
RS_j5MaQLac,Imagine yourself......|| Lifelession #trending #ytshorts #motivation #ytshorts #shorts,"Apr 4, 2026",13,17,0.0072,0,118,0
cNZ0U3FbHPo,Life is not about finding yourself....#trending#ytshorts#motivation#changeyourmindsetchangeyourlife,"Mar 6, 2026",7,17,0.01,0,181,0
z7IXDjJ1BD4,Life true lines || True life lines #trending #viralshort #ytshorts #life 🧬🧬🧬🧬🧬🧬,"May 28, 2025",5,17,0.0215,0,85,0
3bGQHkBfAzU,Self-respect and Identity #trending #viralshort #ytshorts #shorts,"Jun 2, 2025",12,17,0.0279,0,107,1.87
Nug1gwFOHdg,🔥💯💯 Motivational Video For 16 to 27 Age #Trueline #trending #motivation #ytshorts #shorts,"Aug 27, 2024",7,16,0.0159,0,107,4.67
zAlerf9E8L4,Trueline Of Life #viralshort #truelifeline #trending #ytshorts #motivation,"Jun 6, 2025",7,16,0.0159,0,117,0
Qz0vrwlV0hE,speaks 5 lines in every morning 🌅🌄 # 5 lines #everymorning #ytshorts #motivation #shorts,"May 15, 2025",17,16,0.0371,0,93,2.15
GxBxKr9NRSE,Life is a  book 📚|| Lifelession #trending #viralshorts  #changeyourmindsetchangeyourlife,"Mar 4, 2026",7,15,0.0096,0,209,0.48
oDr53WiULkI,Pain is Part of the Journey......|| Lifelession #viralshorts #trending #ytshorts#motivation #shorts,"Jun 10, 2026",13,15,0.0325,0,41,17.07
FkzZxnAlDw4,🔥💯💯🆕 Trueline Motivational || Always be happy 😊😊#trending #ytshorts #shorts,"May 27, 2025",6,14,0.0134,0,82,1.22
IAlO1Ay5-x8,🔥💯💯 Trueline Motivational Video #truelifeline #ytshorts #motivation #shorts,"May 17, 2025",8,12,0.014,0,82,0
a_O5x5BAJ1E,🌄☀️good morning 🌄 || trending viral shorts #trending #ytshorts #goodmorning,"May 9, 2025",5,12,0.0111,0,76,0
jtQFVMoWULg,🔥💯 five important rules of study #motivation #trending #ytshorts #important #rules #study,"Oct 23, 2023",30,12,0.0264,0,54,3.7
2hN07Q1lrJU,Treading Viral Shorts #treading #truelifeline #viralshort #ytshorts #motivation,"Jun 3, 2025",12,12,0.0175,0,98,0
tJvX8i9xFmY,Believe In Your Self || True life lines#trending #viralshorts #motivation #ytshorts #shorts  🧬🧬🧬🧬🧬🧬,"May 29, 2025",39,11,0.027,0,83,0
7DEv_arxhP0,New Trueline Motivational Video #trending #viralshort #motivation #shorts,"Apr 16, 2025",5,10,0.0129,0,104,0
qSiYZz90G3U,📖Papa Ki Diary Ne Sach Bata Diya |  Emotional Father Story#motivation #fatherlove #emotionalstory ,"Jun 11, 2026",265,10,0.058,0,69,10.14
5ArQ4qOU2eI,🔥💯💯🆕Trending Viral Shorts || Trueline Motivational Video #trending#viralshotrs#ytshorts #motivation,"Apr 24, 2025",5,10,0.0091,0,59,0
